"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2010","AFR","NER","620058","","","",""
"WHS3_48","PUBLISHED","2011","AFR","NER","780876","","","",""
"WHS3_48","PUBLISHED","2008","AFR","NGA","143079","","","",""
"WHS3_48","PUBLISHED","2009","AFR","NGA","479845","","","",""
"WHS3_48","PUBLISHED","2010","AFR","NGA","551187","","","",""
"WHS3_48","PUBLISHED","2006","EMR","OMN","0","","","",""
"WHS3_48","PUBLISHED","2007","EMR","OMN","4","","","",""
"WHS3_48","PUBLISHED","2008","EMR","OMN","8","","","",""
"WHS3_48","PUBLISHED","2009","EMR","OMN","0","","","",""
"WHS3_48","PUBLISHED","2010","EMR","OMN","24","","","",""
"WHS3_48","PUBLISHED","2011","EMR","OMN","13","","","",""
"WHS3_48","PUBLISHED","2006","EMR","PAK","123761","","","",""
"WHS3_48","PUBLISHED","2007","EMR","PAK","128380","","","",""
"WHS3_48","PUBLISHED","2008","EMR","PAK","104334","","","",""
"WHS3_48","PUBLISHED","2009","EMR","PAK","167579","","","",""
"WHS3_48","PUBLISHED","2010","EMR","PAK","219175","","","",""
"WHS3_48","PUBLISHED","2011","EMR","PAK","334589","","","",""
"WHS3_48","PUBLISHED","2006","AMR","PAN","1651","","","",""
"WHS3_48","PUBLISHED","2007","AMR","PAN","1265","","","",""
"WHS3_48","PUBLISHED","2008","AMR","PAN","732","","","",""
"WHS3_48","PUBLISHED","2009","AMR","PAN","770","","","",""
